resultType,metersDistanceFromGeoBias,poiName,phone,website,category,geoPosition,address,description,priceLabel,totalRatings,minRating,maxRating,rating,socialMedia,socialMediaUrl
POI,1851.47,Babulnath Fruit Shop,+91 22 2361 9272,,food drinks: green grocers shop,"(18.95743, 72.80857)",Babulnath Fruit Shop Babulnath Road Khareghat Colony Mumbai India 400006,,,,,,,,
POI,3692.71,Lokesh Fruit Shop,,,food drinks: green grocers shop,"(18.94611, 72.79579)",Lokesh Fruit Shop Walkeshwar Road Walkeshwar Mumbai India 400006,,,,,,,,
POI,3805.56,Worli Fruits Shop,+91 86527 63923,,food drinks: green grocers shop,"(19.00326, 72.82014)",Worli Fruits Shop G M Bhosale Road Worli Mumbai India 400018,,,,,,,,
POI,5356.07,Janta Fruits Store,,,food drinks: green grocers shop,"(19.01715, 72.81847)",Janta Fruits Store V B Worlikar Marg Koliwada Adrash Nagar Worli Mumbai India 400018,,,,,,,,
POI,968.05,Welcome Dry Fruit Store,+91 22 2387 3783,,food drinks: food shops shop,"(18.96303, 72.81453)",Welcome Dry Fruit Store Naushir Bharucha Road Cross Lane 2 Zoroastrian Colony Mumbai India 400034,,,,,,,,
POI,980.38,Arihant Dry Fruits Store,,,delicatessen shop,"(18.97583, 72.82714)",Arihant Dry Fruits Store R B Chandorkar Road Bombay Central Mumbai India 400011,,,,,,,,
POI,1344.93,Kamdhenu Dry Fruits Shop,+91 22 2385 1315,,food drinks: food shops shop,"(18.96353, 72.8098)",Kamdhenu Dry Fruits Shop August Kranti Marg Gamdevi Mumbai India 400034,,,,,,,,
POI,1377.0,Prabhat Dry Fruits Store,,,food drinks: food shops shop,"(18.95678, 72.81941)",Prabhat Dry Fruits Store Rammohan Roy Marg Ambewadi Chowpatty Mumbai India 400004,,,,,,,,
POI,9009.9,Akash Fruits Shop,,,food drinks: green grocers shop,"(19.04229, 72.85784)",Akash Fruits Shop Mahatma Gandhi Road Dharavi Mumbai India 400017,,,,,,,,
POI,1462.62,Ganesh Dry Fruit Store,+91 22 2372 3817,,food drinks: food shops shop,"(18.97413, 72.83401)",Ganesh Dry Fruit Store Doctor Babasaheb Ambedkar Road Mustafa Bazar Mumbai India 400027,,,,,,,,
POI,1502.24,Hermes Dry Fruits Store,+91 22 2380 6085,,food drinks: food shops shop,"(18.964, 72.80793)",Hermes Dry Fruits Store August Kranti Marg Gamdevi Mumbai India 400034,,,,,,,,
POI,1605.04,Ajmeri Dry Fruit Store,+91 95944 36935,,food drinks: food shops shop,"(18.95789, 72.83086)",Ajmeri Dry Fruit Store Brigadier Usman Marg Null Bazar Mumbai India 400002,,,,,,,,
POI,1608.75,Aryan Dry Fruit Store,+91 22 6635 2756,,food drinks: food shops shop,"(18.95538, 72.82619)",Aryan Dry Fruit Store Ardeshir Dady Cross Lane Cawasji Patel Tank Mumbai India 400004,,,,,,,,
POI,2519.27,Bharat Dry Fruits Store,,,delicatessen shop,"(18.94887, 72.83207)",Bharat Dry Fruits Store Sheikh Memon Street Chippi Chawl Mumbai India 400002,,,,,,,,
POI,9302.37,Aisha Fruits Shop,+91 82912 30430,,food drinks: green grocers shop,"(19.04481, 72.85871)",Aisha Fruits Shop K K Krishnan Menon Marg Kuttiwadi Mumbai India 400017,,,,,,,,
POI,2712.02,Pratap Dry Fruits Store,,,delicatessen shop,"(18.94556, 72.82812)",Pratap Dry Fruits Store Shamaldas Gandhi Marg Tak Wadi Mumbai India 400002,,,,,,,,
POI,2716.2,Afghan Dry Fruits Shop,,,delicatessen shop,"(18.94755, 72.83344)",Afghan Dry Fruits Shop Sheikh Memon Street Lohar Chawl Mumbai India 400002,,,,,,,,
POI,3234.91,Siddhivinayak Dry Fruits Store,,,delicatessen shop,"(18.9907, 72.84173)",Siddhivinayak Dry Fruits Store G D Ambekar Marg Parel Mumbai India 400015,,,,,,,,
POI,9511.72,Mourya Fruit Shop,+91 88507 38885,,food drinks: green grocers shop,"(19.04557, 72.86162)",Mourya Fruit Shop Mahatma Gandhi Road Joglekar Nagar Mumbai India 400017,,,,,,,,
POI,4410.83,Mayur Dry Fruit Store,+91 98215 31999,,shop specialty foods,"(18.93081, 72.83233)",Mayur Dry Fruit Store Mumbai Samachar Road Kala Ghoda Mumbai India 400001,,,,,,,,
POI,4431.81,Platinum Dry Fruit Store,,,shop specialty foods,"(18.93108, 72.83399)",Platinum Dry Fruit Store Mumbai Samachar Road Horniman Circle Mumbai India 400001,,,,,,,,
POI,4444.09,Bharat Dry Fruits Store,,,delicatessen shop,"(18.93056, 72.83256)",Bharat Dry Fruits Store Mumbai Samachar Road Kala Ghoda Mumbai India 400001,,,,,,,,
POI,5826.28,Vinayak Dry Fruit Store,+91 89293 01982,,shop specialty foods,"(18.91704, 72.8279)",Vinayak Dry Fruit Store Shahid Bhagat Singh Road Colaba Mumbai India 400005,,,,,,,,
POI,6007.93,Katwes Dry Fruits Store,,,food drinks: grocers shop,"(18.91546, 72.82846)",Katwes Dry Fruits Store Lala N Marg Uran India 400005,,,,,,,,
POI,6856.33,Ujjwal Dry Fruits Store,+91 98216 49241,,food drinks: food shops shop,"(19.02755, 72.84179)",Ujjwal Dry Fruits Store Lady Jamshedji Road Kasarwadi Mumbai India 400016,,,,,,,,
POI,7788.58,Royal Dry Fruit Store,+91 98929 51765,,shop specialty foods,"(19.02461, 72.86629)",Royal Dry Fruit Store Dosti Acres Road Acharya Atre Nagar Mumbai India 400037,,,,,,,,
POI,8360.25,Laxmi Dry Fruit Store,+91 22 2445 7377,,food drinks: food shops shop,"(19.04042, 72.84619)",Laxmi Dry Fruit Store Senapati Bapat Marg Mahim New Area Mumbai India 400016,,,,,,,,
POI,1477.34,Nathmal Devichand Dry Fruit Store,+91 98679 33570,,food drinks: food shops shop,"(18.958, 72.82898)",Nathmal Devichand Dry Fruit Store S V Patel Marg Null Bazar Mumbai India 400002,,,,,,,,
POI,1485.77,Sagarmal Mohanlal Dry Fruit Store,+91 22 2346 5504,,food drinks: food shops shop,"(18.95803, 72.82917)",Sagarmal Mohanlal Dry Fruit Store S V Patel Marg Null Bazar Mumbai India 400002,,,,,,,,
POI,1486.15,Damji Manji Dry Fruit Store,+91 22 2346 5371,,food drinks: food shops shop,"(18.95793, 72.82902)",Damji Manji Dry Fruit Store Bara Imam Road Null Bazar Mumbai India 400002,,,,,,,,
POI,1502.95,Multanmal Devichand Dry Fruit Store,+91 22 2346 3248,,food drinks: food shops shop,"(18.95778, 72.82907)",Multanmal Devichand Dry Fruit Store Bara Imam Road Null Bazar Mumbai India 400002,,,,,,,,
POI,1605.92,Al Bilal Dry Fruit Store,+91 22 2346 9526,,food drinks: food shops shop,"(18.95795, 72.83095)",Al Bilal Dry Fruit Store Brigadier Usman Marg Null Bazar Mumbai India 400002,,,,,,,,
POI,2506.12,Shri Ganesh Dry Fruits Shop,,,delicatessen shop,"(18.98713, 72.83541)","Shri Ganesh Dry Fruits Shop Jain Chawl 2, Dr.Babasaheb Ambedkar Road, Chinchpokli Chinchpokli Mumbai India 400012",,,,,,,,
POI,9352.95,Sahud Ansari Fruit Shop,+91 79777 79010,,food drinks: green grocers shop,"(19.04529, 72.85876)","Sahud Ansari Fruit Shop Sion Bandra Link Road, Near Masjid Darussalam, Shastri Nagar Sai Baba Nagar Mumbai India 400017",,,,,,,,
