resultType,metersDistanceFromGeoBias,poiName,phone,website,category,geoPosition,address,description,priceLabel,totalRatings,minRating,maxRating,rating,socialMedia,socialMediaUrl
POI,11420.27,Swami Vivekanand Education Society Polytechnic College,,,college/university junior college/community college,"(19.04832, 72.89025)","Swami Vivekanand Education Society Polytechnic College Luv Kush Apartment, Chembur East Vijay Nagar Mumbai India 400071",,,,,,,,
POI,7797.67,Vidyalankar Polytechnic,,,college/university junior college/community college,"(19.02184, 72.87)","Vidyalankar Polytechnic Vidyalankar College, Sangam Nagar Sangam Nagar Mumbai India 400037",,,,,,,,
POI,1195.35,REI Polytechnic DTE MSBTE,,,college/university,"(18.95902, 72.81709)",REI Polytechnic DTE MSBTE Doctor Dadasaheb Bhadkamkar Marg Shapur Baug Mumbai India 400007,,,,,,,,
POI,3230.56,Akbar Peerbhoy Girls Polytechnic,+91 22 2262 1745,,college/university junior college/community college,"(18.94249, 72.83363)",Akbar Peerbhoy Girls Polytechnic Badruddin Tyabji Road Dhobi Talav Mumbai India 400001,,,,,,,,
POI,16619.6,Divine Child Education Centre Computer Technology,,,college/university,"(19.11296, 72.86388)",Divine Child Education Centre Computer Technology Sir Mathuradas Vasanji Marg JB Nagar Mumbai India 400093,,,,,,,,
POI,10735.02,Governments Polytechnic Mumbai,,,college/university junior college/community college,"(19.06277, 72.84569)","Governments Polytechnic Mumbai Raj Sambhaji College, Kherwadi Sadguru Colony Mumbai India 400051",,,,,,,,
POI,3252.61,M H Saboo Siddik Polytechnic,+91 22 2261 1494,,college/university junior college/community college,"(18.94253, 72.83423)",M H Saboo Siddik Polytechnic Sir Jamshedji Jeejeebhoy Road Dhobi Talav Mumbai India 400001,,,,,,,,
POI,13437.04,PV Polytechnic,,www.pvpsndt.org,college/university,"(19.08954, 72.83093)",PV Polytechnic Juhu Daulat Nagar Mumbai India 400049,,,,,,,,
POI,3687.51,Nirmala Niketan College of Home Science & Polytechnic,+91 22 2207 6503,,college/university,"(18.93668, 72.8288)",Nirmala Niketan College of Home Science & Polytechnic Sir Vithaldas Thackersey Road New Marine Lines Mumbai India 400020,,,,,,,,
POI,9875.87,National Womens Polytechnic Vocational,,,college/university,"(19.05532, 72.84351)",National Womens Polytechnic Vocational Anant Kanekar Road Naupada Mumbai India 400051,,,,,,,,
POI,15183.2,Adhia College of Polytechnic,,,college/university junior college/community college,"(19.10515, 72.83284)",Adhia College of Polytechnic North South Road 6 Ashok Nagar Mumbai India 400049,,,,,,,,
POI,15505.05,Svkms Shri Bhagubhai Mafatlal Polytechnic,,,college/university,"(19.1076, 72.83782)",Svkms Shri Bhagubhai Mafatlal Polytechnic Ville Parle West DJS College of Engineering Mumbai India 400056,,,,,,,,
POI,14104.48,KJ Somaiya College,+91 22 2511 5915,www.somaiya.edu,college/university,"(19.07286, 72.89828)","KJ Somaiya College Sarvoday Buddh Vihar Marg, Vidya Vihar, Rajawadi Kurla East Mumbai India 400077",,,,,,,,
POI,1011.29,Mohammed Haji Saboo Siddik College of Engineering,,,college/university,"(18.96783, 72.83071)",Mohammed Haji Saboo Siddik College of Engineering Saboo Siddik Polytechnic Road Nagpada Mumbai India 400008,,,,,,,,
POI,13330.04,S N D T Law College,,,college/university,"(19.08859, 72.83072)","S N D T Law College Premlila Vithaldas Polytechnic, Juhu Daulat Nagar Mumbai India 400049",,,,,,,,
POI,13359.98,C U Shah College Of Pharmacy,,,college/university,"(19.08885, 72.83086)","C U Shah College Of Pharmacy Premlila Vithaldas Polytechnic, Juhu Daulat Nagar Mumbai India 400049",,,,,,,,
POI,11411.02,Vivekananda Institute College of Law,,,college/university,"(19.04829, 72.89015)","Vivekananda Institute College of Law Vivekanand Education Societys Polytechnic College, Chembur Vijay Nagar Mumbai India 400071",,,,,,,,
